,ID,Gender,DoB,ROI1,ROI2,ROI3,Valid,Valid Freeviewing
38,20230315124045497,MALE,2000,Man,WomanOnBoat,Turtle,True,True
39,20230315130435292,OTHER,2001,Octopus,Turtle,BoatSunset,True,False
40,20230315131709196,OTHER,2000,Pierce,Man,Zeppelin,True,True
41,20230315133424397,MALE,2000,WomanOnBoat,Man,Woman,True,True
42,20230315135518567,OTHER,2001,BoatSunset,Spaceship,Elephant,True,True
43,20230315140735370,FEMALE,1983,Pierce,Mermaid,Woman,False,True
44,20230315142615239,MALE,2014,SwimmingMan,Elephant,Octopus,False,True
45,20230315144349427,MALE,2000,Woman,WomanOnBoat,SwimmingMan,True,True
46,20230315144710394,FEMALE,2000,Pierce,WomanOnBoat,FatherSonBoat,True,True
47,20230315145247230,FEMALE,2017,Spaceship,WomanOnBoat,BoatSunset,True,False
48,20230315150032112,FEMALE,2000,Woman,Mermaid,Spaceship,True,False
49,20230315151516479,MALE,2004,Mermaid,BoatSunset,WomanOnBoat,True,True
50,20230315152319545,MALE,2014,Mermaid,Turtle,Octopus,True,False
51,20230315152802595,MALE,1973,SwimmingMan,Mermaid,Woman,True,True
52,20230315153139896,MALE,2001,BoatSunset,Turtle,WomanOnBoat,False,True
53,20230315153459094,MALE,2000,BoatSunset,Man,WomanOnBoat,False,True
54,20230315155213011,FEMALE,1995,Octopus,WomanOnBoat,Mermaid,True,True
55,20230315155543521,FEMALE,1992,Woman,Mermaid,Man,True,True
56,20230315155914298,MALE,1989,WomanOnBoat,Woman,BoatSunset,True,True
57,20230315162117588,MALE,2000,Spaceship,SwimmingMan,Elephant,False,True
58,20230315162925726,FEMALE,2000,Pierce,WomanOnBoat,Spaceship,True,True
59,20230315164246309,MALE,2002,Octopus,WomanOnBoat,Woman,True,False
60,20230315165504513,FEMALE,2000,SwimmingMan,Turtle,Pierce,False,True
61,20230316104900968,OTHER,2000,Pierce,WomanOnBoat,BoatSunset,False,True
62,20230316105338295,FEMALE,1976,Mermaid,Turtle,Octopus,False,True
63,20230316105846202,FEMALE,2000,Pierce,Octopus,BoatSunset,True,True
64,20230316110301057,MALE,2000,Pierce,Woman,Man,False,True
65,20230316111611179,MALE,2000,Mermaid,Octopus,Turtle,False,False
66,20230316112421169,MALE,2012,WomanOnBoat,Elephant,Woman,False,True
67,20230316115329064,FEMALE,1990,WomanOnBoat,BoatSunset,Woman,True,True
68,20230316115700125,MALE,2000,Turtle,Octopus,WomanOnBoat,True,True
69,20230316120026448,MALE,1980,Man,Spaceship,Octopus,True,True
70,20230316120732590,MALE,2000,Woman,BoatSunset,Turtle,True,True
71,20230316122657753,OTHER,2000,Turtle,Pierce,Man,False,True
72,20230316123025360,MALE,2011,Spaceship,Woman,WomanOnBoat,True,True
73,20230316123536370,MALE,1996,SwimmingMan,Turtle,Man,False,True
74,20230316124448523,FEMALE,1998,Elephant,Woman,FatherSonBoat,True,True
75,20230316130134460,OTHER,1998,WomanOnBoat,BoatSunset,Pierce,False,True
76,20230316132159517,MALE,1981,Man,Elephant,BoatSunset,True,True
77,20230316132530294,MALE,1980,Elephant,Spaceship,Man,True,True
78,20230316132949619,FEMALE,1956,BoatSunset,Pierce,Spaceship,True,True
79,20230316134105694,MALE,1983,Mermaid,Woman,BoatSunset,False,False
80,20230316134504199,MALE,1982,WomanOnBoat,Pierce,BoatSunset,True,True
81,20230316134836912,FEMALE,1989,Pierce,Turtle,WomanOnBoat,True,True
82,20230316135714128,FEMALE,2000,WomanOnBoat,SwimmingMan,Octopus,True,False
83,20230316140147051,OTHER,2007,Mermaid,BoatSunset,Octopus,False,False
84,20230316140854494,FEMALE,1950,Woman,Mermaid,WomanOnBoat,True,True
85,20230316141239970,MALE,1978,WomanOnBoat,Pierce,Man,False,False
86,20230316141632634,FEMALE,1978,Pierce,FatherSonBoat,Elephant,True,True
87,20230316142038414,OTHER,2000,WomanOnBoat,Turtle,Clouds,False,False
88,20230316142442508,MALE,1974,FatherSonBoat,Turtle,Pierce,True,True
89,20230316143156891,FEMALE,2000,Turtle,Man,Mermaid,False,False
90,20230316144011652,FEMALE,1968,Turtle,Octopus,BoatSunset,True,False
91,20230316144535709,MALE,2000,Woman,SwimmingMan,BoatSunset,False,True
92,20230316145012936,MALE,2008,Spaceship,BoatSunset,Elephant,True,True
93,20230316145353089,MALE,2008,Elephant,FatherSonBoat,BoatSunset,True,True
94,20230316145757200,MALE,2009,Spaceship,Man,Elephant,True,False
95,20230316150720829,MALE,2001,Pierce,Spaceship,Mermaid,True,False
96,20230316151046367,FEMALE,2008,Zeppelin,BoatSunset,Clouds,True,False
97,20230316151416961,MALE,2008,BlankSky,BoatSunset,Man,True,True
98,20230316152652833,MALE,2000,WomanOnBoat,BoatSunset,FatherSonBoat,True,True
99,20230316154753708,MALE,1972,WomanOnBoat,SwimmingMan,FatherSonBoat,False,True
100,20230316162346658,OTHER,2000,Woman,Mermaid,WomanOnBoat,True,True
101,20230317102219440,FEMALE,2000,Octopus,Woman,Clouds,True,False
102,20230317102902309,MALE,1981,Woman,WomanOnBoat,Pierce,True,True
103,20230317103332046,FEMALE,1982,Man,BoatSunset,Spaceship,True,True
104,20230317104904927,FEMALE,1985,Turtle,Pierce,Man,True,True
105,20230317110823032,MALE,1999,FatherSonBoat,WomanOnBoat,Turtle,True,True
106,20230317111650004,FEMALE,2000,WomanOnBoat,BoatSunset,SwimmingMan,True,False
107,20230317112129700,FEMALE,1989,BoatSunset,Turtle,Pierce,True,True
108,20230317112639542,FEMALE,1999,Mermaid,WomanOnBoat,Pierce,True,True
109,20230317113644195,FEMALE,1977,Pierce,Mermaid,Man,False,False
110,20230317114413644,MALE,1998,BoatSunset,FatherSonBoat,Mermaid,True,True
111,20230317120041263,MALE,1984,BoatSunset,FatherSonBoat,Man,True,True
112,20230317120851352,MALE,1992,Spaceship,Turtle,Mermaid,True,True
113,20230317121348865,OTHER,1996,FatherSonBoat,Pierce,Elephant,True,True
114,20230317122000419,MALE,1997,Pierce,Mermaid,FatherSonBoat,False,True
115,20230317122345728,MALE,2000,Pierce,WomanOnBoat,BoatSunset,False,False
116,20230317123116978,MALE,2008,Woman,Pierce,Mermaid,True,True
117,20230317123619362,MALE,2010,Woman,WomanOnBoat,Pierce,False,True
118,20230317125929016,MALE,1993,WomanOnBoat,Woman,Pierce,True,True
119,20230317131349491,FEMALE,1982,WomanOnBoat,BoatSunset,Man,True,True
120,20230317132647450,FEMALE,2010,Pierce,WomanOnBoat,BoatSunset,True,True
121,20230317133214878,MALE,2001,Woman,WomanOnBoat,Pierce,True,True
122,20230317134516724,FEMALE,2000,BoatSunset,Woman,Man,True,True
123,20230317134918482,MALE,1993,Woman,Man,Pierce,False,False
124,20230317135303373,OTHER,1997,Turtle,WomanOnBoat,Mermaid,False,True
125,20230317140559047,FEMALE,2010,Turtle,Mermaid,Octopus,False,False
126,20230317141106337,MALE,1951,WomanOnBoat,Elephant,Turtle,True,True
127,20230317141536756,OTHER,2000,Pierce,Spaceship,Woman,True,True
128,20230317141930056,FEMALE,1994,Elephant,FatherSonBoat,Turtle,True,True
129,20230317142335001,FEMALE,2003,Elephant,WomanOnBoat,Pierce,True,True
130,20230317142752908,FEMALE,2000,Turtle,Woman,Mermaid,True,True
131,20230317143245333,MALE,2011,Spaceship,BoatSunset,Octopus,True,False
132,20230317144746682,MALE,1970,WomanOnBoat,Woman,Man,True,True
133,20230317145340786,MALE,1994,Octopus,WomanOnBoat,Pierce,True,True
134,20230317150727760,FEMALE,1996,Octopus,Mermaid,Turtle,True,False
135,20230317152727041,MALE,2008,Spaceship,Clouds,FatherSonBoat,True,False
136,20230317153140310,MALE,2001,Woman,SwimmingMan,Mermaid,True,True
137,20230317154333355,FEMALE,2000,Woman,BoatSunset,Turtle,True,False
138,20230317160307560,MALE,1997,Turtle,WomanOnBoat,BoatSunset,True,False
139,20230317160653368,MALE,2000,Woman,Pierce,FatherSonBoat,True,True
140,20230317161931826,FEMALE,1999,Pierce,Spaceship,Turtle,False,True
141,20230317164323320,MALE,1992,Elephant,Spaceship,WomanOnBoat,True,True
142,20230317164746950,MALE,1992,Mermaid,Man,Spaceship,True,True
143,20230318104855939,MALE,2000,FatherSonBoat,Turtle,BoatSunset,True,True
144,20230318105221060,MALE,2000,Turtle,WomanOnBoat,BoatSunset,True,True
145,20230318112559478,FEMALE,2012,WomanOnBoat,BoatSunset,Mermaid,True,True
146,20230318113100996,MALE,2000,Turtle,BoatSunset,WomanOnBoat,True,False
147,20230318113430489,MALE,2009,WomanOnBoat,Woman,SwimmingMan,True,True
148,20230318113848146,OTHER,2000,Man,BoatSunset,WomanOnBoat,True,True
149,20230318114228417,MALE,2012,WomanOnBoat,Elephant,Turtle,True,False
150,20230318115849313,MALE,1992,Mermaid,Woman,Turtle,True,True
151,20230318120518436,MALE,2000,FatherSonBoat,Pierce,Man,False,True
152,20230318121018369,FEMALE,1980,BoatSunset,WomanOnBoat,Spaceship,False,True
153,20230318121427936,FEMALE,1996,Turtle,Man,WomanOnBoat,True,True
154,20230318122418175,FEMALE,1978,Turtle,Mermaid,WomanOnBoat,True,True
155,20230318124414355,OTHER,2000,Elephant,Mermaid,Turtle,True,True
156,20230318124808055,MALE,1991,WomanOnBoat,Spaceship,Man,True,True
157,20230318130800163,FEMALE,1991,Pierce,Octopus,Mermaid,False,True
158,20230318131612939,FEMALE,1976,Man,BoatSunset,Pierce,True,True
159,20230318132156882,MALE,1970,Woman,Pierce,BoatSunset,True,True
160,20230318133853732,OTHER,1991,Mermaid,Turtle,BoatSunset,True,False
161,20230318134305367,MALE,1980,Turtle,WomanOnBoat,Mermaid,True,True
162,20230318135855033,MALE,2002,WomanOnBoat,Turtle,Woman,True,True
163,20230318140551716,MALE,1999,Woman,WomanOnBoat,Mermaid,True,True
164,20230318141542708,FEMALE,2002,Octopus,FatherSonBoat,SwimmingMan,True,True
165,20230318141928249,MALE,2002,Turtle,FatherSonBoat,WomanOnBoat,True,True
166,20230318142327222,FEMALE,1996,Elephant,Turtle,WomanOnBoat,True,True
167,20230318143454125,FEMALE,1991,Woman,WomanOnBoat,Pierce,False,True
168,20230318145012192,FEMALE,1997,Mermaid,Spaceship,WomanOnBoat,True,True
169,20230318145836046,MALE,1976,Pierce,Woman,Mermaid,True,True
170,20230318150329256,FEMALE,1984,WomanOnBoat,BoatSunset,Pierce,True,True
171,20230318150752585,MALE,1981,Octopus,SwimmingMan,Mermaid,True,True
172,20230318151418538,MALE,2000,FatherSonBoat,Spaceship,Man,True,False
173,20230318151853947,MALE,1957,WomanOnBoat,Man,Spaceship,True,True
174,20230318152338231,FEMALE,1961,Pierce,BoatSunset,Turtle,False,True
175,20230318152814974,MALE,2010,WomanOnBoat,Woman,BoatSunset,False,True
176,20230318153628767,FEMALE,1996,Turtle,Mermaid,BoatSunset,True,True
177,20230318154314089,FEMALE,2000,Octopus,Pierce,Man,True,True
178,20230318154832925,MALE,1978,WomanOnBoat,BoatSunset,Mermaid,True,False
179,20230318155203135,FEMALE,2011,Woman,WomanOnBoat,BoatSunset,True,True
180,20230318155538183,MALE,1992,WomanOnBoat,Turtle,Mermaid,True,False
181,20230318155942211,FEMALE,1998,Turtle,Elephant,Man,True,True
182,20230318160344937,FEMALE,1987,Spaceship,Elephant,Turtle,True,True
183,20230318161238003,FEMALE,1990,Man,Mermaid,Spaceship,False,True
184,20230318162248679,MALE,2000,Man,Elephant,FatherSonBoat,True,True
185,20230318162706237,MALE,1998,SwimmingMan,Turtle,WomanOnBoat,True,True
186,20230318163821663,MALE,1997,Turtle,Octopus,Man,True,True
187,20230318164152022,MALE,1996,Woman,Pierce,BoatSunset,True,True
188,20230318164511472,MALE,2000,FatherSonBoat,Elephant,SwimmingMan,False,False
189,20230318165602473,FEMALE,1999,Elephant,Spaceship,Turtle,True,True
190,20230318170023683,FEMALE,2000,Mermaid,FatherSonBoat,Spaceship,True,True
191,20230319100006261,MALE,1993,Turtle,BoatSunset,WomanOnBoat,True,False
192,20230319103314266,FEMALE,2006,Turtle,Octopus,Pierce,True,True
193,20230319111415392,MALE,1975,Pierce,Mermaid,BoatSunset,True,True
194,20230319112428688,OTHER,2002,Elephant,Woman,BoatSunset,False,False
195,20230319113012365,FEMALE,2001,Mermaid,WomanOnBoat,BoatSunset,True,True
196,20230319113501538,FEMALE,1982,Pierce,Woman,WomanOnBoat,True,True
197,20230319113858774,MALE,1998,Spaceship,Pierce,WomanOnBoat,True,True
198,20230319114420896,FEMALE,1976,Woman,Man,Clouds,True,False
199,20230319114930189,FEMALE,2002,BoatSunset,Turtle,Mermaid,True,True
200,20230319115526945,OTHER,1999,SwimmingMan,WomanOnBoat,Elephant,True,False
201,20230319115929955,MALE,2006,FatherSonBoat,Octopus,Pierce,True,True
202,20230319120443535,OTHER,1995,WomanOnBoat,Mermaid,BoatSunset,False,True
203,20230319121813544,FEMALE,1993,BoatSunset,WomanOnBoat,Mermaid,False,False
204,20230319122154232,FEMALE,1993,Man,FatherSonBoat,SwimmingMan,True,True
205,20230319122636847,MALE,1980,Pierce,Mermaid,Man,True,True
206,20230319125855735,FEMALE,1990,WomanOnBoat,Mermaid,Turtle,True,True
207,20230319130634394,MALE,1978,Woman,Pierce,BoatSunset,True,True
208,20230319131115658,FEMALE,2000,Mermaid,Pierce,Woman,False,True
209,20230319131814977,MALE,2012,Spaceship,Man,BoatSunset,True,False
210,20230319132701519,FEMALE,2003,WomanOnBoat,Turtle,BoatSunset,True,False
211,20230319133053885,FEMALE,2012,WomanOnBoat,BoatSunset,Mermaid,False,False
212,20230319133522571,MALE,2000,Woman,WomanOnBoat,Mermaid,False,False
213,20230319140703771,FEMALE,2013,Pierce,BlankSky,Spaceship,False,False
214,20230319142232432,MALE,1988,Mermaid,Turtle,Pierce,True,True
215,20230319142631371,OTHER,2000,Mermaid,Elephant,Turtle,False,False
216,20230319143545909,MALE,2000,Turtle,Octopus,Pierce,False,True
217,20230319145030310,MALE,2009,BoatSunset,WomanOnBoat,Octopus,False,False
218,20230319145453673,MALE,1970,Mermaid,Turtle,BoatSunset,True,True
219,20230319150228627,FEMALE,1996,WomanOnBoat,BoatSunset,Pierce,True,True
220,20230319150644266,MALE,1969,FatherSonBoat,Mermaid,Pierce,True,True
221,20230319151842334,FEMALE,1997,Spaceship,Clouds,FatherSonBoat,True,False
222,20230319152252034,FEMALE,2009,Turtle,WomanOnBoat,Man,False,False
223,20230319153332341,FEMALE,1993,FatherSonBoat,Spaceship,Pierce,True,True
224,20230319153738637,MALE,1994,Mermaid,Turtle,Pierce,False,True
225,20230319154137024,MALE,1996,BoatSunset,Pierce,FatherSonBoat,True,True
226,20230319154642396,OTHER,2002,BoatSunset,Octopus,Mermaid,True,False
227,20230319155547074,FEMALE,1997,Pierce,WomanOnBoat,FatherSonBoat,True,True
228,20230319155919503,MALE,1996,SwimmingMan,Octopus,Mermaid,True,True
229,20230319160325182,MALE,2004,Woman,BoatSunset,Spaceship,True,True
230,20230319160712993,MALE,1987,Spaceship,Clouds,FatherSonBoat,True,False
231,20230319162225004,FEMALE,1983,Mermaid,Turtle,BoatSunset,True,False
232,20230319165448413,MALE,2000,Pierce,FatherSonBoat,Spaceship,True,True
233,20230319165850439,MALE,1993,Octopus,Turtle,WomanOnBoat,True,False
234,20230319170234997,MALE,1993,WomanOnBoat,Woman,Elephant,True,True
235,20230321113136315,OTHER,2005,BoatSunset,Octopus,Man,True,True
236,20230321114147892,MALE,1987,WomanOnBoat,BoatSunset,Pierce,True,True
237,20230321114601996,FEMALE,1986,BoatSunset,Spaceship,Pierce,True,True
238,20230321115300597,OTHER,1999,BoatSunset,Pierce,Man,True,True
239,20230321115702089,MALE,1997,Pierce,WomanOnBoat,Mermaid,True,True
240,20230321120103930,MALE,2000,Turtle,Woman,Man,True,True
241,20230321121534850,FEMALE,1999,Turtle,BoatSunset,Elephant,True,True
242,20230321123020101,FEMALE,2001,Man,Pierce,FatherSonBoat,True,True
243,20230321123428349,MALE,1994,BoatSunset,Turtle,Mermaid,True,True
244,20230321131702417,MALE,2012,BoatSunset,Octopus,Man,True,True
245,20230321132038098,MALE,2002,Octopus,Woman,Turtle,True,True
246,20230321134147900,MALE,1992,Elephant,Pierce,WomanOnBoat,True,True
247,20230321134535928,MALE,1999,BoatSunset,Mermaid,Woman,False,True
248,20230321134933983,FEMALE,1998,SwimmingMan,Woman,Man,True,False
249,20230321135351190,OTHER,2000,BoatSunset,Pierce,Spaceship,True,False
250,20230321140751479,MALE,2000,Pierce,Octopus,BoatSunset,True,True
251,20230321141140958,MALE,2000,Turtle,Pierce,BoatSunset,False,True
252,20230321143606989,FEMALE,1993,Mermaid,Pierce,FatherSonBoat,True,True
253,20230321144545700,OTHER,2001,Octopus,Turtle,BoatSunset,True,True
254,20230321144916528,MALE,1997,Turtle,Octopus,WomanOnBoat,True,True
255,20230321150504958,FEMALE,2003,Turtle,Mermaid,FatherSonBoat,True,True
256,20230321155208762,FEMALE,2008,WomanOnBoat,Pierce,Spaceship,False,True
257,20230321163700767,MALE,1998,Pierce,WomanOnBoat,Man,True,True
258,20230322103719654,FEMALE,2010,Mermaid,WomanOnBoat,BoatSunset,True,False
259,20230322105212897,MALE,1990,Turtle,Woman,Pierce,True,True
260,20230322105839900,MALE,1988,Turtle,Pierce,Woman,True,False
261,20230322113329152,FEMALE,1989,Spaceship,Turtle,Elephant,True,True
262,20230322120748475,FEMALE,1988,Elephant,Mermaid,Woman,False,True
263,20230322121507981,MALE,2001,WomanOnBoat,BoatSunset,Man,True,True
264,20230322123145611,MALE,1989,Woman,BoatSunset,FatherSonBoat,True,False
265,20230322124052657,MALE,1994,BoatSunset,Woman,SwimmingMan,True,True
266,20230322124847765,FEMALE,1965,SwimmingMan,Spaceship,Mermaid,True,False
267,20230322125750474,MALE,2002,Elephant,WomanOnBoat,Man,True,True
268,20230322130146809,MALE,1962,Woman,SwimmingMan,WomanOnBoat,True,True
269,20230322131100028,MALE,1993,Turtle,WomanOnBoat,Clouds,True,True
270,20230322131646774,FEMALE,2000,BoatSunset,Turtle,Octopus,True,True
271,20230322133251104,FEMALE,2000,Turtle,Pierce,Mermaid,True,False
272,20230322134108700,OTHER,2000,WomanOnBoat,Woman,Octopus,True,False
273,20230322134607533,FEMALE,2000,WomanOnBoat,Elephant,BoatSunset,True,True
274,20230322135006922,MALE,1999,Mermaid,WomanOnBoat,Octopus,True,False
275,20230322140240141,FEMALE,2011,WomanOnBoat,Woman,Mermaid,True,True
276,20230322140624147,MALE,2000,Octopus,Clouds,WomanOnBoat,True,False
277,20230322141943629,MALE,1986,Turtle,FatherSonBoat,Octopus,True,True
278,20230322142416968,OTHER,1999,WomanOnBoat,BoatSunset,Man,False,False
279,20230322144853543,FEMALE,1999,Mermaid,WomanOnBoat,Woman,True,True
280,20230322145336259,MALE,1994,BoatSunset,Elephant,Turtle,True,True
281,20230322150510402,OTHER,2001,Woman,WomanOnBoat,Man,True,True
282,20230322151116818,FEMALE,1998,Spaceship,Pierce,BlankSky,True,True
283,20230322151911942,MALE,2004,WomanOnBoat,Pierce,Spaceship,True,True
284,20230322152248359,FEMALE,2001,Woman,WomanOnBoat,Elephant,False,False
285,20230322152910556,OTHER,2004,Man,BoatSunset,Woman,True,True
286,20230322153257200,OTHER,2004,Mermaid,Spaceship,BoatSunset,True,True
287,20230322153619718,OTHER,2000,BoatSunset,WomanOnBoat,Man,True,True
288,20230322155009630,FEMALE,1991,WomanOnBoat,Turtle,Man,True,True
289,20230322161629024,FEMALE,2003,SwimmingMan,Elephant,Pierce,True,True
290,20230322163344909,FEMALE,1996,Woman,BoatSunset,Elephant,False,True
291,20230322163736957,FEMALE,1996,WomanOnBoat,Pierce,Octopus,True,True
292,20230322165106833,MALE,2003,Elephant,Clouds,Octopus,True,True
293,20230323095744347,MALE,2001,Man,Spaceship,WomanOnBoat,True,True
294,20230323102229879,OTHER,2005,Mermaid,BoatSunset,WomanOnBoat,True,False
295,20230323103616437,MALE,2007,WomanOnBoat,Pierce,Woman,True,True
296,20230323103938773,MALE,2000,Spaceship,Clouds,FatherSonBoat,True,False
297,20230323112343544,MALE,2000,Octopus,Turtle,Elephant,True,True
298,20230323114310276,FEMALE,1991,Mermaid,FatherSonBoat,Elephant,True,True
299,20230323120012262,MALE,1998,Pierce,Mermaid,Elephant,True,True
300,20230323121224342,MALE,1985,Woman,FatherSonBoat,Spaceship,False,True
301,20230323125213343,FEMALE,2000,Elephant,WomanOnBoat,FatherSonBoat,True,False
302,20230323125656642,MALE,2007,Turtle,Man,FatherSonBoat,False,True
303,20230323130740268,FEMALE,2002,Mermaid,Octopus,BoatSunset,True,True
304,20230323131716859,MALE,1990,Pierce,FatherSonBoat,Spaceship,True,False
305,20230323132809344,MALE,1973,BoatSunset,Woman,Pierce,True,True
306,20230323134345978,FEMALE,1989,Spaceship,BoatSunset,Man,True,True
307,20230323134743299,FEMALE,1990,Turtle,Mermaid,Octopus,True,True
308,20230323140054004,MALE,2011,Woman,WomanOnBoat,Man,False,True
309,20230323141651377,MALE,1999,SwimmingMan,Man,Woman,True,True
310,20230323142039520,MALE,1998,Woman,WomanOnBoat,BoatSunset,True,True
311,20230323142848491,MALE,2000,Woman,Pierce,Turtle,True,False
312,20230323145043020,FEMALE,2000,Octopus,Spaceship,Turtle,False,True
313,20230323150409207,FEMALE,1986,Man,BoatSunset,Woman,True,True
314,20230323152939118,MALE,1999,BoatSunset,SwimmingMan,Octopus,False,True
315,20230323153443237,MALE,1994,Mermaid,Pierce,Octopus,True,False
316,20230323154305172,MALE,1986,Spaceship,Clouds,FatherSonBoat,True,False
317,20230323155231837,FEMALE,1996,BoatSunset,Octopus,WomanOnBoat,True,True
318,20230323161312375,FEMALE,2000,Turtle,Woman,FatherSonBoat,True,True
319,20230323163713896,MALE,1982,WomanOnBoat,Octopus,Mermaid,True,True
320,20230323170140043,FEMALE,1964,Pierce,WomanOnBoat,BoatSunset,False,True
321,20230324100953893,FEMALE,2000,Mermaid,Woman,Turtle,False,False
322,20230324102608799,FEMALE,2000,WomanOnBoat,Turtle,Octopus,True,True
323,20230324105346505,FEMALE,2011,Mermaid,WomanOnBoat,Pierce,False,False
324,20230324110530424,FEMALE,2003,Pierce,Octopus,Elephant,True,True
325,20230324111619656,FEMALE,2000,FatherSonBoat,Spaceship,Turtle,True,True
326,20230324112019462,FEMALE,1997,Woman,Octopus,BoatSunset,False,True
327,20230324112814720,FEMALE,2011,Mermaid,BoatSunset,WomanOnBoat,False,True
328,20230324114528903,FEMALE,2000,BoatSunset,Man,Turtle,True,True
329,20230324114856077,FEMALE,2000,BoatSunset,Pierce,FatherSonBoat,False,True
330,20230324115319255,FEMALE,1998,FatherSonBoat,BoatSunset,Spaceship,True,False
331,20230324120729872,MALE,1975,WomanOnBoat,Woman,Turtle,True,True
332,20230324122328579,OTHER,1993,Woman,Pierce,WomanOnBoat,True,True
333,20230324123117997,FEMALE,2011,Elephant,Woman,Man,True,True
334,20230324124357539,OTHER,2000,BoatSunset,FatherSonBoat,WomanOnBoat,True,True
335,20230324124754342,FEMALE,1996,Turtle,Mermaid,Woman,True,True
336,20230324125128857,FEMALE,1996,Spaceship,Elephant,BoatSunset,True,True
337,20230324125504005,MALE,2000,WomanOnBoat,Spaceship,Octopus,True,True
338,20230324130110070,MALE,2002,Man,Mermaid,BoatSunset,False,False
339,20230324130427101,MALE,2002,FatherSonBoat,Spaceship,Man,True,True
340,20230324131430086,OTHER,2000,WomanOnBoat,BoatSunset,Turtle,False,False
341,20230324133213298,FEMALE,2001,WomanOnBoat,Woman,BoatSunset,False,True
342,20230324133727961,MALE,1999,BoatSunset,Man,Turtle,False,False
343,20230324134638578,MALE,1997,Mermaid,SwimmingMan,Pierce,True,True
344,20230324135155728,MALE,1965,Mermaid,WomanOnBoat,BoatSunset,True,True
345,20230324140540468,MALE,1981,BoatSunset,Mermaid,Pierce,True,True
346,20230324141708139,FEMALE,2004,Mermaid,BoatSunset,Octopus,True,True
347,20230324143859914,MALE,2009,Pierce,Man,BoatSunset,False,True
348,20230324144712257,MALE,1998,Spaceship,BoatSunset,Man,True,True
349,20230324145117301,OTHER,1979,WomanOnBoat,Man,Turtle,True,True
350,20230324145514655,FEMALE,1981,WomanOnBoat,BoatSunset,Turtle,True,True
351,20230324145840811,FEMALE,2013,Mermaid,Spaceship,Man,True,True
352,20230324151154686,OTHER,2006,WomanOnBoat,Man,Mermaid,True,True
353,20230324154810442,FEMALE,2000,WomanOnBoat,BoatSunset,Octopus,True,False
354,20230324155245800,MALE,2000,Woman,Pierce,WomanOnBoat,True,True
355,20230324160333096,FEMALE,1996,Elephant,Turtle,WomanOnBoat,False,True
